"site","block","plot","flood","clone","div","pdiv","herbivory","nlvs","error","alive","a_div","norm","hnorm"
"Ecuador","none","23",0,0,1,0.1,16.8333333333333,37,21.1810442763485,100,1.62162162162162,1,0.473511486169714
"Ecuador","none","24",0,0,1,0.1,22.3333333333333,14,19.5639273344401,50,1.35714285714286,0.333333333333333,0.628223159868729
"Ecuador","none","25",0,0,1,0.1,21.5,95,21.5250056413731,66.6666666666667,1.32631578947368,0.555555555555556,0.60478199718706
"Ecuador","none","26",0,0,1,0.1,0.833333333333333,25,12.2518025884629,50,1.08,0.333333333333333,0.023441162681669
"Ecuador","none","27",0,1,1,0.1,13.7272727272727,37,11.0614581252137,91.6666666666667,1.35135135135135,0.888888888888889,0.386139879810766
"Ecuador","none","28",0,1,1,0.1,35.55,35,25.0578155002997,83.3333333333333,1,0.777777777777778,1
"Ecuador","none","29",0,1,1,0.1,9.38888888888889,98,21.2633220823883,75,1.14285714285714,0.666666666666667,0.264103766213471
"Ecuador","none","3",1,1,10,1,6.05555555555556,46,21.0553904879257,75,1.56521739130435,0.666666666666667,0.170339115486795
"Ecuador","none","30",0,1,1,0.1,8.72222222222222,47,16.864810453645,75,1.21276595744681,0.666666666666667,0.245350836068136
"Ecuador","none","4",0,1,10,1,11.5909090909091,92,20.8513726645785,91.6666666666667,1.60869565217391,0.888888888888889,0.326045262754124
"Ecuador","none","5",0,1,10,1,15.9545454545455,95,18.3665063480002,91.6666666666667,1.81052631578947,0.888888888888889,0.448791714614499
"Ecuador","none","6",0,1,10,1,12.85,46,17.0059523537771,83.3333333333333,1.5,0.777777777777778,0.361462728551336
"Ecuador","none","7",1,0,2,0.2,9.83333333333333,23,13.4965959696065,50,1.39130434782609,0.333333333333333,0.276605719643694
"Ecuador","none","8",1,0,2,0.2,14.6428571428571,40,23.7264187925179,58.3333333333333,1.725,0.444444444444444,0.411894715692184
"Ecuador","none","9",1,0,2,0.2,22.3333333333333,46,19.3551226538831,100,1.6304347826087,1,0.628223159868729
"mogi","1","1",0,0,1,0.25,19.8333333333333,17,23.7737497351719,25,1.23529411764706,0.222222222222222,1
"mogi","1","11",0,1,1,0.25,4.5,6,15.0521316319871,8.33333333333333,1.33333333333333,0,0.206896551724138
"mogi","1","12",0,0,1,0.25,3.55555555555556,118,19.7646004799226,75,1.07627118644068,0.888888888888889,0.158045977011494
"mogi","1","2",0,0,2,0.5,1.14285714285714,56,11.6321179856107,58.3333333333333,1.05357142857143,0.666666666666667,0.0332512315270936
"mogi","1","3",0,0,4,1,1.875,49,13.2137709037428,33.3333333333333,1.08163265306122,0.333333333333333,0.0711206896551724
"mogi","1","4",0,1,2,0.5,1.22222222222222,60,14.9557822840804,75,1.08333333333333,0.888888888888889,0.0373563218390805
"mogi","1","5",0,1,4,1,3.04375,58,20.2382211827638,66.6666666666667,1.08620689655172,0.777777777777778,0.131573275862069
"mogi","1","6",0,1,1,0.25,0.5,90,15.4283370141186,50,1.03333333333333,0.555555555555555,0
"mogi","1","7",0,1,1,0.25,2.111111111,8,15.4758997225486,25,1,0.222222222222222,0.0833333333275862
"mogi","1","8",0,0,1,0.25,1.6045454545,45,15.5900012987765,83.3333333333333,1.02222222222222,1,0.0571316614396552
"mogi","1","9",0,1,1,0.25,1.5,52,8.13931764365872,50,1.07692307692308,0.555555555555555,0.0517241379310345
"mogi","2","1",0,1,1,0.25,0.5,7,35.5454102589377,16.6666666666667,1,0.111111111111111,0
"mogi","2","10",0,0,1,0.25,17.0555555555556,81,27.6339386968495,75,1.24691358024691,0.888888888888889,0.85632183908046
