"year","variable","value"
1999,"11",362
2000,"11",391.9
2001,"11",904.1
2002,"11",472.7
2003,"11",190.8
2004,"11",353.4
2005,"11",656
2006,"11",416.9
2007,"11",619
2008,"11",420.2
2009,"11",352.9
2010,"11",343.5
2011,"11",593.2
2012,"11",746.3
2013,"11",241
2014,"11",558
2015,"11",533
2016,"11",374.7
2017,"11",477.8
2018,"11",NA
1958,"12",311.2
1959,"12",284.3
1960,"12",236.2
1961,"12",315.3
1962,"12",775.6
1963,"12",544.1
1964,"12",165.2
1965,"12",582.6
1966,"12",718.4
1967,"12",426.9
1968,"12",435.3
1969,"12",694
1970,"12",1360.4
1971,"12",174.8
1972,"12",408.9
1973,"12",295.1
1974,"12",338.5
1975,"12",582.1
1976,"12",217
1977,"12",185.4
1978,"12",422.1
1979,"12",457.5
1980,"12",829.2
1981,"12",463.3
1982,"12",455.2
1983,"12",133.7
1984,"12",340.7
1985,"12",170.7
1986,"12",215.9
1987,"12",334.7
1988,"12",644.8
1989,"12",273.4
1990,"12",278.4
1991,"12",317.5
1992,"12",393.5
1993,"12",271.4
1994,"12",532
1995,"12",189.3
1996,"12",639.5
1997,"12",240.2
1998,"12",1038.7
1999,"12",606.6
2000,"12",383.8
2001,"12",1079.6
2002,"12",220.6
2003,"12",561.2
2004,"12",718.1
2005,"12",314
2006,"12",501.1
2007,"12",558.7
2008,"12",499.6
2009,"12",211.6
2010,"12",481.6
2011,"12",599.9
2012,"12",450.2
2013,"12",153.6
2014,"12",624.8
2015,"12",478.5
2016,"12",595.7
2017,"12",223.9
2018,"12",NA
1958,"total",3485.6
1959,"total",3673.5
1960,"total",3513.5
1961,"total",3311.7
1962,"total",4506.2
1963,"total",4995.9
1964,"total",3199.4
1965,"total",5059.7
1966,"total",5254.2
1967,"total",5427.5
1968,"total",4856.9
1969,"total",4611.6
1970,"total",6164
1971,"total",3721.8
1972,"total",4590.4
1973,"total",3670.8
1974,"total",3926.8
1975,"total",4092.9
1976,"total",4898.5
1977,"total",4256.9
1978,"total",4524.9
1979,"total",5011
1980,"total",4860.8
1981,"total",5121.4
1982,"total",4852.6
1983,"total",3548.7
1984,"total",3572.6
1985,"total",3128.8
1986,"total",3917
1987,"total",3391.5
1988,"total",4133.2
1989,"total",3673.5
1990,"total",4462.7
1991,"total",4537.4
1992,"total",3843.1
1993,"total",3637.7
1994,"total",4221.5
1995,"total",2809.3
1996,"total",4241.9
1997,"total",4810.9
1998,"total",3863.8
1999,"total",4322
2000,"total",4701.5
2001,"total",5189.4
2002,"total",5144.2
2003,"total",4315.9
2004,"total",5193
2005,"total",4224.9
2006,"total",4532.1
2007,"total",3747.5
2008,"total",4319.5
2009,"total",4521.4
2010,"total",4732.4
2011,"total",4304.9
2012,"total",3555.1
2013,"total",3159.37
2014,"total",4549.4
2015,"total",5813.7
2016,"total",3863.4
2017,"total",3457.6
2018,"total",4420.3
